Price,Fuel_Tank_Capacity,Height,Width,City_Mileage,Power,Seating_Capacity
745000,45,151,1695,2,68,5
704000,45,151,1695,2,68,5
597700,45,151,1695,15,8,5
720700,45,151,1695,2,68,5
641700,45,151,1695,15,8,5
756700,45,151,1695,2,68,5
558400,45,151,1695,15,8,5
686000,45,151,1695,2,68,5
662700,45,151,1695,15,8,5
777700,45,151,1695,2,68,5
525021,41,153,1665,2,68,5
599950,41,153,1665,19,68,5
563133,41,153,1665,18,68,5
787980,44,1562,1695,22,75,5
661111,44,1562,1695,22,75,5
693798,44,1562,1695,22,75,5
719661,44,1562,1695,22,75,5
674960,44,1562,1695,17,9,5
529035,44,1562,1695,17,9,5
590268,44,1562,1695,17,9,5
614515,44,1562,1695,17,9,5
556130,43,152,166,25,83,5
536859,43,152,166,25,83,5
556130,43,152,166,25,83,5
536859,43,152,166,25,81,5
639616,43,152,166,25,79,5
620297,43,152,166,25,71,5
653523,42,1555,1695,14,75,5
553423,42,1555,1695,16,83,5
598940,42,1555,1695,26,60,5
559693,45,155,171,13,84,5
697803,45,155,1734,18,9,5
634950,45,155,1734,13,84,5
770803,45,155,1734,18,9,5
721693,45,155,1734,13,84,5
876103,45,155,1734,18,9,5
808993,45,155,1734,13,84,5
934003,45,155,1734,18,9,5
920993,45,155,1734,13,83,5
751693,45,155,1734,13,84,5
831693,45,155,1734,13,84,5
846103,45,155,1734,18,9,5
579900,37,152,168,2,83,5
655900,37,152,168,2,83,5
705800,37,152,168,2,83,5
729900,37,152,168,2,83,5
804800,37,152,168,2,83,5
785900,37,152,168,2,83,5
728900,37,152,168,2,69,5
854900,37,152,168,2,100,5
773800,37,152,168,2,75,5
823700,37,152,168,2,75,5
922700,37,152,168,2,75,5
903800,37,152,168,2,75,5
582000,45,1469,1682,14,76,5
676500,45,1469,1682,14,76,5
776500,45,1469,1682,14,76,5
734500,45,1469,1682,19,9,5
851500,45,1469,1682,19,9,5
931500,45,1469,1682,19,9,5
976000,45,1469,1682,17,15,5
988500,45,1469,1682,19,11,5
582613,37,1515,1735,16,84.3,5
673112,37,1515,1735,16,84.3,5
666622,37,1515,1735,28,75,5
732113,37,1515,1735,16,84.3,5
757622,37,1515,1735,28,75,5
720112,37,1515,1735,16,84.3,5
863122,37,1515,1735,28,75,5
816622,37,1515,1735,28,75,5
821613,37,1515,1735,16,84.3,5
779113,37,1515,1735,16,84.3,5
868613,37,1515,1735,16,84.3,5
906122,37,1515,1735,28,75,5
804622,37,1515,1735,28,75,5
952622,37,1515,1735,28,75,5
676400,4,157,1737,19,1,5
790900,4,157,1737,19,1,5
836400,4,157,1737,19,1,5
591400,42,157,1737,19,96,5
721400,42,157,1737,19,96,5
756400,42,157,1737,19,96,5
681400,42,157,1737,19,96,5
745900,42,157,1737,19,1,5
711500,45,1483,1682,15,11,5
810500,45,1483,1682,15,11,5
999900,45,1483,1682,15,11,5
925500,45,1483,1682,15,11,5
594000,45,1483,1682,14,76,5
665000,45,1483,1682,13,76,5
799900,45,1483,1682,12,76,5
999900,45,1483,1682,15,11,5
598500,42,1525,174,13,96,5
697400,42,1525,174,13,96,5
663400,42,1525,174,13,96,5
699400,4,1525,174,2,1,5
737400,4,1525,174,2,1,5
777400,4,1525,175,2,1,5
817400,4,1525,174,2,1,5
862400,4,1525,174,2,1,5
782400,42,1525,174,2,96,5
737400,42,1525,174,2,96,5
758314,42,1525,174,2,96,5
762400,42,1525,174,2,96,5
842400,4,1525,174,2,1,5
627100,45,151,1695,2,9,5
718600,45,151,1695,2,9,5
734700,45,151,1695,2,68,5
828600,45,151,1695,2,68,5
888400,45,151,1695,2,68,5
778400,45,151,1695,2,9,5
689600,45,151,1695,13,9,5
799600,45,151,1695,2,68,5
913400,45,151,1695,2,68,5
803400,45,151,1695,13,9,5
802000,45,1555,1735,15,9,5
650000,45,1555,1735,15,8,5
797500,45,1555,1735,18,68,5
766000,45,1555,1735,18,68,5
668500,45,1555,1735,16,8,5
816000,45,1555,1735,18,68,5
657628,5,154,174,18,65,5
685729,5,154,174,18,65,5
750428,5,154,174,18,65,5
677618,45,1542,176,2,93,5
739074,45,1542,176,2,93,5
977516,45,1542,176,17,14,5
810211,45,1542,176,2,93,5
721900,37,154,1745,19,89,5
758200,37,154,1745,19,82,5
829900,37,154,1745,2,82,5
890200,37,154,1745,2,82,5
697900,37,154,1745,2,82,5
796132,45,1542,176,11,93,5
711801,45,1542,176,11,93,5
876341,45,1542,176,11,93,5
745000,4,1544,1694,11,9,5
909000,4,1544,1694,11,9,5
789000,4,1544,1694,11,9,5
865000,4,1544,1694,11,9,5
816500,4,1544,1694,12,1,5
896500,4,1544,1694,12,1,5
940500,4,1544,1694,12,1,5
928000,4,1544,1694,12,89,5
2680000,6,1657,1818,12,173,5
2760000,6,1657,1818,12,173,5
2734834,76,184,186,13,177,7
2931534,76,184,186,13,177,7
2814500,71,1672,1839,13,141,5
3067001,57,1679,1855,14,12,7
3277001,57,1689,1855,14,12,7
2899599,66,1483,1864,11,18,5
3149599,66,1483,1864,15,177,5
3021200,5,1416,1796,18,143,5
3221200,5,1416,1796,18,143,5
2920750,5,1416,1796,12,15,5
3120750,5,1416,1796,12,15,5
3299599,66,1483,1864,15,177,5
3678599,66,1483,1864,15,148,5
